SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
LSWAXGCN,General Services ,WAXING - CHIN,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LSWAXGFH,General Services ,WAXING - FOREHEAD,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LSWAXGSD,General Services ,WAXING - SIDES,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGUA,General Services ,WAXING - UNDER ARMS,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGHA,General Services ,WAXING - HALF ARMS,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGLU,General Services ,WAXING - LOWER & UPPER BACK,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGFB,General Services ,WAXING - FULL BACK,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LSWAXGFF,General Services ,WAXING - FULL FACE,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGHL,General Services ,WAXING - HALF LEGS,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGFA,General Services ,WAXING - FULL ARMS,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXGFL,General Services ,WAXING - FULL LEGS,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBWAXFBY,General Services ,WAXING - FULL BODY,STANDARD SERVICE,STANDARD RATE CARD,WAXING
LBFIPOFN,General Services ,FILE & POLISH - FINGERS ,STANDARD SERVICE,STANDARD RATE CARD,BASIC HAND AND FOOT 
LBFIPOTO,General Services ,FILE & POLISH -  TOES,STANDARD SERVICE,STANDARD RATE CARD,BASIC HAND AND FOOT 
LBCUFIFI,General Services ,CUT & FILE - FINGERS ,STANDARD SERVICE,STANDARD RATE CARD,BASIC HAND AND FOOT 
LBCUFITO,General Services ,CUT & FILE - TOES,STANDARD SERVICE,STANDARD RATE CARD,BASIC HAND AND FOOT 
LBMANINR,General Services ,MANICURE -REGULAR,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBCBSMNR,General Services ,CITRUS BLOSSOM SPA MANICURE,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBMANIPF,General Services ,MANICURE -PARAFFIN,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBCPSMNR,General Services ,CITRUS PORE PURIFYING SPA MANICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBRSSMNR,General Services ,CITRUS ROYAL SHIMMER SPA MANICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBMIOKMA,General Services ,MINT - O - KOOL MANICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBMANIFR,General Services ,MANICURE -FRENCH,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBPEDINR,General Services ,PEDICURE - REGULAR,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBCBSPNR,General Services ,CITRUS BLOSSOM SPA PEDICURE,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBPEDIPF,General Services ,PEDICURE - PARAFFIN,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBCPSPNR,General Services ,CITRUS PORE PURIFYING SPA PEDICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBRSSPNR,General Services ,CITRUS ROYAL SHIMMER SPA PEDICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBMIOKPE,General Services ,MINT - O - KOOL PEDICURE,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBPEDIFR,General Services ,PEDICURE - FRENCH,STANDARD SERVICE,STANDARD RATE CARD,MANICURE & PEDICURE
LBPEDICH,General Services ,CHOCOLATE FOOT SPA,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBPEDIPC,General Services ,PINCOLADA FOOT SPA,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC MANICURE AND PEDICURE 
LBRIDLSA,General Services ,SAREE DRAPING,STANDARD SERVICE,STANDARD RATE CARD,MAKE UP & STYLING
LHHADOSM,General Services ,HAIR DO SHORT & MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,MAKE UP & STYLING
LHHADOLG,General Services ,HAIR DO LONG,STANDARD SERVICE,STANDARD RATE CARD,MAKE UP & STYLING
LSPAMENR,General Services ,MAKE-UP PARTY,STANDARD SERVICE,STANDARD RATE CARD,MAKE UP & STYLING
LSMKUPEN,General Services ,MAKE-UP ENGAGEMENT,STANDARD SERVICE,STANDARD RATE CARD,MAKE UP & STYLING
LBMEDIAR,General Services ,MEHENDI - ARABIC PER SIDE,STANDARD SERVICE,STANDARD RATE CARD,MEHENDI
LBMEDILG,General Services ,MEHENDI - LEG PER SIDE,STANDARD SERVICE,STANDARD RATE CARD,MEHENDI
LBMEDINR,General Services ,MEHENDI - NORMAL PER SIDE,STANDARD SERVICE,STANDARD RATE CARD,MEHENDI
LBMEDISP,General Services ,MEHENDI - BRIDAL SPECIAL PER SIDE ,STANDARD SERVICE,STANDARD RATE CARD,MEHENDI
LHHADOTR,General Services ,TRAIL HAIR DO,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LHMAUPTR,General Services ,TRAIL MAKE UP,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSMKUPBR,General Services ,BRIDAL  FACE MAKE UP,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSBRMAFC,General Services ,"BRIDAL MAKE UP (FACE,HAIR DO, SAREE DRAPPING)",STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSTRIMAK,General Services ,TRIAL MAKEUP - MAC,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
